template_key,template_name,mode,distance_nm,angle_deg,target_range_nm,power_coeff_db,radar_direction_gain_db,jammer_mode_power_db,effective_jammer_power_db,jsr_db,jam_probability
mid_fcr_compact,Mid-Generation Fire Control Radar,sector,50,50,20.0,16.0,-36.0,27.0,27.0,-41.58538061324282,0.00024424947854647126
mid_fcr_compact,Mid-Generation Fire Control Radar,sector,50,60,20.0,16.0,-36.0,27.0,27.0,-41.58538061324282,0.00024424947854647126
mid_fcr_compact,Mid-Generation Fire Control Radar,sector,50,70,20.0,16.0,-36.0,27.0,27.0,-41.58538061324282,0.00024424947854647126
mid_fcr_compact,Mid-Generation Fire Control Radar,sector,50,80,20.0,16.0,-36.0,27.0,27.0,-41.58538061324282,0.00024424947854647126
mid_fcr_compact,Mid-Generation Fire Control Radar,sector,50,90,20.0,16.0,-36.0,27.0,27.0,-41.58538061324282,0.00024424947854647126
mid_fcr_compact,Mid-Generation Fire Control Radar,sector,60,0,20.0,16.0,6.38160282421013e-05,27.0,27.0,-7.168941718167073,0.19250910259791
mid_fcr_compact,Mid-Generation Fire Control Radar,sector,60,10,20.0,16.0,-18.20182644634626,27.0,27.0,-25.370831980541574,0.006217401615262412
mid_fcr_compact,Mid-Generation Fire Control Radar,sector,60,20,20.0,16.0,-23.651364519313827,27.0,27.0,-30.82037005350914,0.002099249316421233
mid_fcr_compact,Mid-Generation Fire Control Radar,sector,60,30,20.0,16.0,-29.99899108978337,27.0,27.0,-37.16799662397868,0.0005907071340363277
mid_fcr_compact,Mid-Generation Fire Control Radar,sector,60,40,20.0,16.0,-36.0,27.0,27.0,-43.169005534195314,0.00017795513716961842
mid_fcr_compact,Mid-Generation Fire Control Radar,sector,60,50,20.0,16.0,-36.0,27.0,27.0,-43.169005534195314,0.00017795513716961842
mid_fcr_compact,Mid-Generation Fire Control Radar,sector,60,60,20.0,16.0,-36.0,27.0,27.0,-43.169005534195314,0.00017795513716961842
mid_fcr_compact,Mid-Generation Fire Control Radar,sector,60,70,20.0,16.0,-36.0,27.0,27.0,-43.169005534195314,0.00017795513716961842
mid_fcr_compact,Mid-Generation Fire Control Radar,sector,60,80,20.0,16.0,-36.0,27.0,27.0,-43.169005534195314,0.00017795513716961842
mid_fcr_compact,Mid-Generation Fire Control Radar,sector,60,90,20.0,16.0,-36.0,27.0,27.0,-43.169005534195314,0.00017795513716961842
mid_fcr_compact,Mid-Generation Fire Control Radar,sector,70,0,20.0,16.0,6.38160282421013e-05,27.0,27.0,-8.507877510779338,0.15425960744826922
mid_fcr_compact,Mid-Generation Fire Control Radar,sector,70,10,20.0,16.0,-18.20182644634626,27.0,27.0,-26.70976777315384,0.004763709313960888
mid_fcr_compact,Mid-Generation Fire Control Radar,sector,70,20,20.0,16.0,-23.651364519313827,27.0,27.0,-32.159305846121406,0.0016068664063253776
mid_fcr_compact,Mid-Generation Fire Control Radar,sector,70,30,20.0,16.0,-29.99899108978337,27.0,27.0,-38.50693241659095,0.0004519953883781607
mid_fcr_compact,Mid-Generation Fire Control Radar,sector,70,40,20.0,16.0,-36.0,27.0,27.0,-44.50794132680758,0.00013615393619111277
mid_fcr_compact,Mid-Generation Fire Control Radar,sector,70,50,20.0,16.0,-36.0,27.0,27.0,-44.50794132680758,0.00013615393619111277
mid_fcr_compact,Mid-Generation Fire Control Radar,sector,70,60,20.0,16.0,-36.0,27.0,27.0,-44.50794132680758,0.00013615393619111277
